match_id,source_event_id,match,date,ht_score,ft_score,market,selection,team,line,opening_odds,closing_odds,movement_pct,result,notes
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,HT_AH,Germany -0.50,Germany,-0.50,1.80,1.65,-8.3,Loss,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,HT_AH,Paraguay +0.50,Paraguay,+0.50,1.92,2.15,12.0,Win,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,1X2,Germany,Germany,,1.27,1.23,-3.1,Loss,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,1X2,Draw,Draw,,4.50,5.00,11.1,Win,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,1X2,Paraguay,Paraguay,,8.00,9.50,18.8,Loss,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,AH,Germany -1.5,Germany,-1.5,1.90,1.75,-7.9,Loss,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,AH,Paraguay +1.5,Paraguay,+1.5,1.75,1.90,8.6,Win,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,OU,Over 2.5,,2.5,1.65,1.58,-4.2,Loss,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,OU,Under 2.5,,2.5,2.07,2.20,6.3,Win,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,BTTS,Yes,,,1.87,1.87,0.0,Yes,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,BTTS,No,,,1.77,1.77,0.0,Loss,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,HT_1X2,Germany,Germany,,1.80,1.65,-8.3,Loss,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,HT_1X2,Draw,Draw,,2.30,2.70,17.4,Loss,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,HT_1X2,Paraguay,Paraguay,,7.00,8.00,14.3,Win,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,HT_OU,Over 1.5,,1.5,2.35,2.03,-13.6,Loss,User-provided SGOdds past odds text
WC2026-R32-003,140205,Germany vs Paraguay,2026-06-30,0-1,1-1,HT_OU,Under 1.5,,1.5,1.50,1.67,11.3,Win,User-provided SGOdds past odds text
