match_id,source_event_id,match,date,ht_score,ft_score,market,selection,team,line,opening_odds,closing_odds,movement_pct,result,notes
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,AH,Algeria 0.00,Algeria,0.00,2.20,1.82,-17.3,Push,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,AH,Austria +0.00,Austria,+0.00,1.68,1.92,14.3,Push,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,HT_AH,Algeria 0.00,Algeria,0.00,2.15,1.85,-14.0,Push,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,HT_AH,Austria +0.00,Austria,+0.00,1.72,1.87,8.7,Push,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,1X2,Algeria,Algeria,,3.30,3.30,0.0,Loss,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,1X2,Draw,Draw,,2.25,1.97,-12.4,Win,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,1X2,Austria,Austria,,2.65,3.10,17.0,Loss,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,OU,Over 1.5,,1.5,1.47,1.42,-3.4,Win,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,OU,Under 1.5,,1.5,2.45,2.60,6.1,Loss,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,BTTS,Yes,,,1.80,1.85,2.8,Win,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,BTTS,No,,,1.85,1.80,-2.7,Loss,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,HT_1X2,Algeria,Algeria,,4.00,3.70,-7.5,Loss,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,HT_1X2,Draw,Draw,,1.72,1.72,0.0,Win,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,HT_1X2,Austria,Austria,,3.40,3.70,8.8,Loss,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,HT_OU,Over 0.5,,0.5,1.60,1.65,3.1,Win,User-provided SGOdds past odds text
WC2026-GS-ALG-AUT,unknown,Algeria vs Austria,2026-06-28,1-1,3-3,HT_OU,Under 0.5,,0.5,2.15,2.07,-3.7,Loss,User-provided SGOdds past odds text
