match_id,source_event_id,match,date,status,ht_score,ft_score,market,selection,team,line,opening_odds,closing_odds,movement_pct,result,notes
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,HT_AH,England -0.50,England,-0.50,1.67,1.72,3.0,Win,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,HT_AH,Congo DR +0.50,Congo DR,+0.50,2.10,2.05,-2.4,Loss,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,1X2,England,England,,1.27,1.27,0.0,Win,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,1X2,Draw,Draw,,4.40,4.00,-9.1,Loss,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,1X2,Congo DR,Congo DR,,11.00,11.00,0.0,Loss,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,AH,England -1.5,England,-1.5,1.80,1.82,1.1,Loss,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,AH,Congo DR +1.5,Congo DR,+1.5,1.85,1.82,-1.6,Win,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,OU,Over 2.5,,2.5,1.80,1.77,-1.7,Win,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,OU,Under 2.5,,2.5,1.87,1.90,1.6,Loss,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,BTTS,Yes,,,2.30,2.25,-2.2,Win,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,BTTS,No,,,1.50,1.53,2.0,Loss,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,HT_1X2,England,England,,1.67,1.72,3.0,Win,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,HT_1X2,Draw,Draw,,2.35,2.30,-2.1,Loss,User-provided SGOdds past odds text; result from World Cup schedule snapshot
WC2026-R32-ENG-COD,unknown,England vs Congo DR,2026-07-02,COMPLETED,2-0,2-1,HT_1X2,Congo DR,Congo DR,,9.50,9.00,-5.3,Loss,User-provided SGOdds past odds text; result from World Cup schedule snapshot
