match_id,source_event_id,match,date,status,ht_score,ft_score,market,selection,team,line,opening_odds,closing_odds,movement_pct,result,notes
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,AH,USA -1.25,USA,-1.25,2.00,1.67,-16.5,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,AH,Bosnia +1.25,Bosnia,+1.25,1.72,2.10,22.1,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,HT_AH,USA -0.50,USA,-0.50,2.15,1.72,-20.0,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,HT_AH,Bosnia +0.50,Bosnia,+0.50,1.72,2.00,16.3,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,1X2,USA,USA,,1.40,1.25,-10.7,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,1X2,Draw,Draw,,3.90,4.70,20.5,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,1X2,Bosnia,Bosnia,,6.00,8.50,41.7,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,AH,USA -1.5,USA,-1.5,2.50,1.82,-27.2,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,AH,Bosnia +1.5,Bosnia,+1.5,1.43,1.82,27.3,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,OU,Over 2.5,,2.5,1.83,1.50,-18.0,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,OU,Under 2.5,,2.5,1.83,2.35,28.4,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,BTTS,Yes,,,1.87,1.75,-6.4,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,BTTS,No,,,1.77,1.90,7.3,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,HT_1X2,USA,USA,,1.97,1.72,-12.7,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,HT_1X2,Draw,Draw,,2.25,2.45,8.9,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
WC2026-R32-USA-BIH,5823,USA vs Bosnia,2026-07-02,PRE_MATCH,,,HT_1X2,Bosnia,Bosnia,,5.50,7.00,27.3,Pending,User-provided SGOdds current odds snapshot; last updated 2026-07-02 02:10:04
